Driver,B3,SK,PP,FB,OE,WA,BF,B3_probability,SK_probability,PP_probability,FB_probability,OE_probability,WA_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Yes,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.4166666666666667,0.41017316017316013,59.54461376529498,10,5.954461376529498
No Retirement,2.625,2.625,2.5,2.5,2.625,2.625,2.625,0.27586206896551724,0.27586206896551724,0.2857142857142857,0.2857142857142857,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27867698803659396,40.45538623470502,20,8.091077246941005
