Driver,B3,SK,PP,FB,OE,WA,BF
Yes,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4
No Retirement,2.625,2.625,2.5,2.5,2.625,2.625,2.625
