Driver,B3,SK,PP,WH,FB,VC,LD,UN,KN,OE,WA,CE,VT,BF
Yes,1.3636363636363638,1.3636363636363638,1.3,1.3333333333333333,1.3,1.3636363636363638,1.5,1.4444444444444444,1.4444444444444444,1.3333333333333333,1.3636363636363638,1.5,1.3529411764705883,1.4444444444444444
No Retirement,2,2,2,3.25,2,2,2.4,2.6,2.6,3.25,2.875,2.4,2.947368421052632,2.2
