Driver,B3,SK,PP,WH,FB,VC,LD,UN,SX,KN,BY,OE,S6,PUP,SI,WA,CE,VT,AKB,BF,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,UN_probability,SX_probability,KN_probability,BY_probability,OE_probability,S6_probability,PUP_probability,SI_probability,WA_probability,CE_probability,VT_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Liam Lawson,300.0,250.0,300.0,250.0,300.0,250.0,500,250.0,200.0,250.0,250.0,250.0,300.0,300.0,200.0,250.0,500,250.0,300.0,68.0,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.004975124378109453,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.0033222591362126247,0.0033222591362126247,0.004975124378109453,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.0033222591362126247,0.014492753623188406,0.00421125734349631,0.3679217247192113,20,0.07358434494384226
Fernando Alonso,750.0,500.0,500.0,500.0,500.0,500.0,150,100.0,400.0,100.0,500.0,500.0,400.0,400.0,400.0,500.0,150,500.0,400.0,53.0,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.006622516556291391,0.009900990099009901,0.0024937655860349127,0.009900990099009901,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,0.001996007984031936,0.006622516556291391,0.001996007984031936,0.0024937655860349127,0.018518518518518517,0.004166499476917636,0.36401139815324884,43,0.15652490120589702
Lance Stroll,750.0,500.0,500.0,250.0,500.0,500.0,250,250.0,400.0,250.0,500.0,500.0,500.0,500.0,400.0,500.0,250,500.0,500.0,53.0,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.00398406374501992,0.0024937655860349127,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.001996007984031936,0.018518518518518517,0.0033357007081404435,0.2914276325528957,46,0.13405671097433203
Oliver Bearman,1500.0,1000.0,500.0,750.0,500.0,1000.0,750,1000.0,1000.0,1000.0,1000.0,2000.0,750.0,750.0,1000.0,750.0,750,1000.0,750.0,53.0,0.0006662225183211193,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.0013315579227696406,0.018518518518518517,0.0020494710290618256,0.17905458020488801,45,0.08057456109219961
Isack Hadjar,1500.0,1000.0,500.0,750.0,500.0,1000.0,500,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,500,1000.0,1000.0,53.0,0.0006662225183211193,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.018518518518518517,0.002049404650434327,0.17904878095370916,60,0.1074292685722255
Esteban Ocon,2500.0,1500.0,500.0,750.0,500.0,2000.0,1500,,1000.0,,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1500,2000.0,1000.0,53.0,0.00039984006397441024,0.0006662225183211193,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0004997501249375312,0.0006662225183211193,,0.000999000999000999,,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.018518518518518517,0.0019296031886727437,0.1685821775524053,56,0.09440601942934697
Nico Hulkenberg,2000.0,1500.0,500.0,750.0,500.0,1500.0,1000,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1000,1500.0,1000.0,53.0,0.0004997501249375312,0.0006662225183211193,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0006662225183211193,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0006662225183211193,0.000999000999000999,0.018518518518518517,0.0018914635601600719,0.16525006156946653,60,0.09915003694167993
Pierre Gasly,2500.0,1500.0,500.0,500.0,500.0,1500.0,1500,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1500,2000.0,1000.0,53.0,0.00039984006397441024,0.0006662225183211193,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.018518518518518517,0.0018780890924378635,0.16408158459686933,40,0.06563263383874773
Gabriel Bortoleto,2000.0,1500.0,500.0,750.0,500.0,1500.0,1500,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1500,1500.0,1000.0,53.0,0.0004997501249375312,0.0006662225183211193,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.018518518518518517,0.001858185712092084,0.16234270106939486,60,0.09740562064163692
Jack Doohan,2500.0,1500.0,500.0,750.0,500.0,2000.0,1500,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1500,2000.0,1000.0,53.0,0.00039984006397441024,0.0006662225183211193,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0004997501249375312,0.0006662225183211193,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.018518518518518517,0.0018365429697055694,0.16045185601838,56,0.08985303937029279
